Participant,Gait,Trial,StartTime,EndTime,AllDataExists,Active
1,l_comf,1,5.18,8.22,1,0
1,l_comf,2,4.55,7.72,1,0
1,l_comf,3,4.62,7.98,1,0
1,l_comf,4,4.8,8.39,1,0
1,l_comf,5,4.92,8.94,1,0
1,l_comf,6,4.89,8.1,1,0
1,l_comf,7,4.71,8.03,1,0
1,l_comf,8,4.79,8.32,1,0
1,l_comf,9,4.88,8.16,1,0
1,l_comf,10,4.61,8.02,1,0
1,l_fast,1,nan,nan,1,0
1,l_fast,2,nan,nan,1,0
1,l_fast,3,nan,nan,1,0
1,l_fast,4,nan,nan,1,0
1,l_fast,5,nan,nan,1,0
1,l_fast,6,nan,nan,1,0
1,l_fast,7,3.83,6.91,1,0
1,l_fast,8,nan,nan,1,0
1,l_fast,9,3.6,6.79,1,0
1,l_fast,10,nan,nan,1,0
1,l_fast,11,nan,nan,1,0
1,l_fast,12,nan,nan,1,0
1,l_fast,13,nan,nan,1,0
1,l_fast,14,3.57,6.14,1,0
1,l_fast,15,nan,nan,1,0
1,l_slow,1,nan,nan,1,0
1,l_slow,2,nan,nan,1,0
1,l_slow,3,nan,nan,1,0
1,l_slow,4,nan,nan,1,0
1,l_slow,5,3.35,3.4,1,0
1,l_slow,6,3.11,3.17,1,0
1,l_slow,7,nan,nan,1,0
1,l_slow,8,2.94,3,1,0
1,l_slow,9,nan,nan,1,0
1,l_slow,10,nan,nan,1,0
1,r_comf,1,5.04,8.65,1,0
1,r_comf,2,4.09,7.68,1,0
1,r_comf,3,4.06,4.12,1,0
1,r_comf,4,3.89,7.45,1,0
1,r_comf,5,4.05,7.63,1,0
1,r_comf,6,3.72,7.33,1,0
1,r_comf,7,3.91,7.45,1,0
1,r_comf,8,3.94,7.4,1,0
1,r_comf,9,4.1,7.42,1,0
1,r_comf,10,3.77,7.48,1,0
1,r_fast,1,3.49,6.32,1,0
1,r_fast,2,3.42,6.23,1,0
1,r_fast,3,3.3,6.43,1,0
1,r_fast,4,3.26,3.33,1,0
1,r_fast,5,3.21,6.28,1,0
1,r_fast,6,3.66,6.61,1,0
1,r_fast,7,3.49,3.64,1,0
1,r_fast,8,3.38,3.41,1,0
1,r_fast,9,3.23,6.13,1,0
1,r_fast,10,3.19,3.3,1,0
1,r_slow,1,3.83,8.04,1,0
1,r_slow,2,3.96,8.01,1,0
1,r_slow,3,3.8,8.24,1,0
1,r_slow,4,3.9,8.34,1,0
1,r_slow,5,3.98,4.05,1,0
1,r_slow,6,3.61,7.1,1,0
1,r_slow,7,3.95,8.27,1,0
1,r_slow,8,3.64,7.33,1,0
1,r_slow,9,3.54,7.8,1,0
1,r_slow,10,3.46,3.48,1,0
2,l_comf,1,2.56,5.75,1,0
2,l_comf,2,3.38,5.92,1,0
2,l_comf,3,2.41,5.27,1,0
2,l_comf,4,2.29,5.43,1,0
2,l_comf,5,2.99,6.21,1,0
2,l_comf,6,2.85,6.13,1,0
2,l_comf,7,2.51,5.45,1,0
